"['Ah']:[]:[0, 3],[]","[0.121, 0.232, 0.0, 0.305, 0.342]"
"['Ah']:[['As']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['As']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[]:[0, 3, 4],[]","[1.0, 0.0]"
"['Kh']:[]:[2],[]","[1.0, 0.0, 0.0, 0.0, 0.0]"
"['Ah']:[]:[2, 3],[]","[0.0, 0.878, 0.122]"
"['Ah']:[['As']]:[2, 3, 1],[]","[1.0, 0.0]"
"['Kh']:[['As']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Ah']:[['As']]:[2, 3, 1],[0, 1]","[1.0, 0.0]"
"['Kh']:[['As']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Kh']:[]:[2, 3, 2],[]","[0.0, 1.0]"
"['Kh']:[]:[3],[]","[0.0, 0.0, 0.0, 1.0, 0.0]"
"['Kh']:[]:[4],[]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Qh']:[['Qs']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Qh']:[]:[0, 3, 4],[]","[0.071, 0.929]"
"['Qh']:[]:[2],[]","[0.524, 0.123, 0.353, 0.0, 0.0]"
"['Qh']:[]:[3],[]","[0.0, 0.044, 0.0, 0.956, 0.0]"
"['Kh']:[]:[3, 4],[]","[0.0, 1.0]"
"['Qh']:[]:[4],[]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[3, 3],[]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[3, 3],[1]","[0.0, 1.0]"
"['Qs']:[]:[3, 4],[]","[0.0, 1.0]"
"['Qh']:[]:[],[]","[0.0, 0.0, 1.0, 0.0]"
"['Qh']:[]:[0, 4],[]","[0.0, 1.0]"
"['Qh']:[]:[2, 4],[]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[3, 3],[]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[3, 3],[0]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['As']:[]:[0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Qs']:[]:[0, 2],[]","[0.0, 0.201, 0.799, 0.0, 0.0]"
"['Qs']:[['Qh']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Qh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['As']:[['Qh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['As']:[['Qh']]:[0, 2, 2],[2]","[0.0, 1.0]"
"['As']:[]:[0, 2, 3],[]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 3, 1],[]","[1.0, 0.0]"
"['As']:[['Qh']]:[0, 2, 3, 1],[0]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 2, 3, 1],[1]","[0.5, 0.5]"
"['As']:[]:[0, 2, 4],[]","[0.0, 1.0]"
"['As']:[]:[2],[]","[0.0, 0.0, 1.0, 0.0, 0.0]"
"['Qs']:[]:[2, 4],[]","[0.0, 1.0]"
"['As']:[]:[3],[]","[0.0, 0.0, 0.0, 1.0, 0.0]"
"['Ks']:[['Qs']]:[3, 3],[]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[]:[3, 4],[]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Ks']]:[0, 3, 3],[0, 1]","[1.0, 0.0]"
"['Qh']:[['Ks']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[['Ks']]:[3, 3],[]","[1.0, 0.0]"
"['Qh']:[['Ks']]:[3, 3],[0]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['As']]:[3, 3],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[]:[0, 3],[]","[0.0, 1.0, 0.0, 0.0, 0.0]"
"['Ks']:[['As']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Qs']:[['As']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Ks']:[['As']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Qs']:[['As']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['Qs']:[]:[0, 3, 4],[]","[0.0, 1.0]"
"['Qs']:[['As']]:[3, 3],[0]","[0.0, 1.0]"
"['Qs']:[['As']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[]:[0, 2],[]","[0.0, 0.0, 0.111, 0.0, 0.889]"
"['Qh']:[['Kh']]:[0, 2, 2],[]","[0.893, 0.107, 0.0]"
"['Ah']:[['Kh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Ah']:[['Kh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Ah']:[['Kh']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qh']:[]:[0, 2, 3, 2],[]","[0.0, 1.0]"
"['Ah']:[]:[0, 2, 4],[]","[0.5, 0.5]"
"['Qh']:[]:[2, 3],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['Kh']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 3, 1],[0]","[0.5, 0.5]"
