"Hole Cards: ['Ac', '3h'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['Ks', '2s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['3d', 'Kd'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['Tc', '3s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['4h', 'As'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 0.0, 1.0, 0.0]"
"Hole Cards: ['7h', '8s'], Flop Cards: , Turn Card: , River Card:  Actions: 300:::","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
"Hole Cards: ['8c', 'Jd'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['5d', '7c'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 0.0, 1.0, 0.0]"
"Hole Cards: ['2c', '6h'], Flop Cards: , Turn Card: , River Card:  Actions: 300:::","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
"Hole Cards: ['3h', 'Qs'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['As', 'Ts'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 0.0, 1.0, 0.0]"
"Hole Cards: ['4d', 'Qd'], Flop Cards: , Turn Card: , River Card:  Actions: 300:::","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
"Hole Cards: ['Ks', '4h'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['3h', 'Ah'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 1.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['3h', 'Ah'], Flop Cards: ['As', '9h', '2d'], Turn Card: , River Card:  Actions: 100:::","[0.0, 1.0, 0.0, 0.0]"
"Hole Cards: ['4d', 'Js'], Flop Cards: ['As', '9h', '2d'], Turn Card: , River Card:  Actions: 100:100::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['5s', '8s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['3s', 'Ad'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 1.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['3s', 'Ad'], Flop Cards: ['5d', '3h', '3c'], Turn Card: , River Card:  Actions: 100:::","[0.0, 0.0, 0.0, 1.0]"
"Hole Cards: ['Qd', '4s'], Flop Cards: ['5d', '3h', '3c'], Turn Card: , River Card:  Actions: 100:300::","[0.5, 0.5]"
"Hole Cards: ['Ah', '5d'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['7c', '6s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 1.0, 0.0, 0.0]"
"Hole Cards: ['Ac', 'Jc'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['Jh', '2c'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['9c', 'Td'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[1.0, 0.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['2h', '7d'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['6c', '9s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[1.0, 0.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['9c', 'Ah'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['Ts', 'Th'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 1.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['Ts', 'Th'], Flop Cards: ['Js', '9h', '8c'], Turn Card: , River Card:  Actions: 100:::","[0.0, 0.0, 0.0, 1.0]"
"Hole Cards: ['Kc', '3h'], Flop Cards: ['Js', '9h', '8c'], Turn Card: , River Card:  Actions: 100:300::","[0.5, 0.5]"
"Hole Cards: ['7h', 'Tc'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['2d', '3c'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 0.0, 0.0, 1.0]"
"Hole Cards: ['2c', 'Jd'], Flop Cards: , Turn Card: , River Card:  Actions: 400:::","[0.5, 0.5]"
"Hole Cards: ['7h', 'Ah'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['Jc', '2s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 1.0, 0.0, 0.0]"
